"filename", "language", "Python", "Markdown", "Django txt", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceLocation.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceLocationExtension.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceMmx.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceMmxData.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceRunningAccount.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceTableInformation.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceTypera.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceUser.py", "Python", 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\整体技术框架设计.md", "Markdown", 0, 64, 0, 0, 0, 11, 9, 84
"Total", "-", 169, -136, -200, 0, -194, 401, 64, 104
