"filename", "language", "Markdown", "Python", "pip requirements", "YAML", "HTML", "Properties", "Docker", "Ini", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiEquipment.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiLocation.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiLocationExtension.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiMiddleWare.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiMmx.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiMmxData.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiRunningAccount.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiTableInformation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiTypera.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiUser.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiUserExtension.py", "Python", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 91
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Depends.py", "Python", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 120
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Exceptions.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 43
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Login.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 38
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\Settings.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 106
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\gunicorn_config.py", "Python", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 166, 26, 243
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\logger_config.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 48, 16, 135
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 7, 6, 22
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Logs\test.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 19
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\MiddleWare.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 242
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36, 226
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 134
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28, 172
