"filename", "language", "Python", "pip requirements", "YAML", "HTML", "Properties", "Docker", "Markdown", "CSV", "JSON", "Django txt", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\__init__.py", "Python", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\Settings.py", "Python", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\gunicorn_config.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 26, 243
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\logger_config.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 16, 135
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Dockerfile", "Docker", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 7, 6, 22
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Logs\test.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 19
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 11
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocationExtension.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 7
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmxData.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelSqlAlchemySession.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 16
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Server\config.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 21, 228
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceUser.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\main.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\requirements.txt", "pip requirements", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"Total", "-", -1031, 59, 29, 0, 46, 16, 71, 70, 0, -1065, 359, -10, -1456
